Questions,Answers
What do I need to know about the temporary policy for food labeling of minor ingredient changes during the COVID-19 public health emergency if I have food allergies?," Although the temporary policy allows some flexibility, the eight major food allergens under the Food Allergen Labeling and Consumer Protection Act (FALCPA) of 2004 cannot be substituted for labeled ingredients by manufacturers without a corresponding label change. While the temporary policy does not list all ingredients known to cause sensitivities in some people, manufacturers should avoid substituting ingredients with major food allergens or with ingredients recognized as priority allergens (such as sesame, celery, lupin, buckwheat, molluscan shellfish, and mustard) in other parts of the world without a label change. These flexibilities are intended to remain in effect only for the duration of the COVID-19 public health emergency in the United States. However, when this public health emergency is over, extensions may be needed if the food and agriculture sectors need additional time to bring supply chains back into regular order. For more information please see more Questions and Answers on FDA’s Temporary Policy on Food Labeling Changes During the COVID-19 Pandemic.


"
Will there be animal food shortages?," There are no nationwide shortages of animal food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. Animal food production and manufacturing are widely dispersed throughout the United States and no widespread disruptions have been reported in the supply chain.


"
What are the most important things I need to know to keep myself and others safe when I go to the grocery store during the pandemic?," There are steps you can take to help protect yourself, grocery store workers and other shoppers, such as wearing a face covering, practicing social distancing, and using wipes on the handles of the shopping cart or basket. Read more tips in Shopping for Food During the COVID-19 Pandemic - Information for Consumers.


"
Are food products produced in the United States or other countries affected by COVID-19 a risk for the spread of COVID-19?," There is no evidence to suggest that food produced in the United States or imported from countries affected by COVID-19 can transmit COVID-19.


"
"Can I get the coronavirus from food, food packaging, or food containers and preparation area?"," Currently there is no evidence of food, food containers, or food packaging being associated with transmission of COVID-19.  Like other viruses, it is possible that the virus that causes COVID-19 can survive on surfaces or objects. 
If you are concerned about contamination of food or food packaging, wash your hands after handling food packaging, after removing food from the packaging, before you prepare food for eating and before you eat. Consumers can follow CDC guidelines on frequent hand washing with soap and water for at least 20 seconds; and frequently clean and disinfect surfaces.
It is always important to follow the 4 key steps of food safety—clean, separate, cook, and chill.


"
 Is the U.S. food supply safe?," Currently there is no evidence of food or food packaging being associated with transmission of COVID-19.   
Unlike foodborne gastrointestinal (GI) viruses like norovirus and hepatitis A that often make people ill through contaminated food, SARS-CoV-2, which causes COVID-19, is a virus that causes respiratory illness and not gastrointestinal illness, and foodborne exposure to this virus is not known to be a route of transmission.
It may be possible that a person can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads. It’s always important to follow the 4 key steps of food safety—clean, separate, cook, and chill.


"
Is the U.S. animal food supply safe?," Currently there is no evidence of animal food or food packaging being associated with transmission of COVID-19.
Foodborne exposure to the virus that causes COVID-19 is not known to be a route of transmission.


"
Can I get COVID-19 from a food worker handling my food?," Currently, there is no evidence of food or food packaging being associated with transmission of COVID-19. However, the virus that causes COVID-19 is spreading from person-to-person in some communities in the U.S. The CDC recommends that if you are sick, stay home until you are better and no longer pose a risk of infecting others. 
Anyone handling, preparing and serving food should always follow safe food handling procedures, such as washing hands and surfaces often.


"
Should food workers who are ill stay home?," CDC recommends that employees who have symptoms of acute respiratory illness stay home and not come to work until they are free of fever (100.4° F [37.8° C] or greater using an oral thermometer), signs of a fever, and any other symptoms for at least 24 hours, without the use of fever-reducing or other symptom-altering medicines (e.g. cough suppressants). Employees should notify their supervisor and stay home if they are sick. We recommend that businesses review CDC’s interim guidance for businesses and employers for planning and responding to coronavirus disease.  Also see the FDA’s Retail Food Protection: Employee Health and Personal Hygiene Handbook.


"
"Should food facilities (grocery stores, manufacturing facilities, restaurants, etc.) perform any special cleaning or sanitation procedures for COVID-19?"," CDC recommends routine cleaning of all frequently touched surfaces in the workplace, such as workstations, countertops, and doorknobs. Use the cleaning agents that are usually used in these areas and follow the directions on the label. CDC does not recommend any additional disinfection beyond routine cleaning at this time. 
View the current list of products that meet EPA’s criteria for use against SARS-CoV-2, the cause of COVID-19.  
Restaurants and retail food establishments are regulated at the state and local level. State, local, and tribal regulators use the Food Code published by the FDA to develop or update their own food safety rules. Generally, FDA-regulated food manufacturers are required to maintain clean facilities, including, as appropriate, clean and sanitized food contact surfaces, and to have food safety plans in place.   Food safety plans include a hazards analysis and risk-based preventive controls and include procedures for maintaining clean and sanitized facilities and food contact surfaces. See: FSMA Final Rule for Preventive Controls for Human Food.


"
What is the FDA doing to respond to foodborne illnesses during the COVID-19 pandemic?," The virus that causes COVID-19 is a virus that causes respiratory illness. Viruses like norovirus and hepatitis A that can make people sick through contaminated food usually cause gastrointestinal or stomach illness. Currently there is no evidence of food, food containers, or food packaging being associated with transmission of COVID-19.  
The CDC, FDA, and USDA continue to work with state and local partners to investigate foodborne illness and outbreaks during the COVID-19 pandemic. The FDA’s Coordinated Outbreak Response and Evaluation (CORE) Network manages outbreak response, as well as surveillance and post-response activities related to incidents involving multiple illnesses linked to FDA-regulated human food products. During this coronavirus outbreak, CORE’s full-time staff will continue to operate to prepare for, coordinate and carry out response activities to incidents of foodborne illnesses. 
The FDA’s Center for Veterinary Medicine manages outbreak response for animal food and is similarly staffed and prepared to respond to incidents of foodborne illness in animals.


"
"What is the FDA’s role in regulating animal drugs, animal food (including pet food), and animal medical devices?"," The FDA approves and regulates animal drugs to ensure they are safe and effective. In addition, the FDA helps ensure that animal food (including pet food) is safe and truthfully labeled. The FDA has post-market authority over veterinary medical devices.


"
Can I give my pet COVID-19?," There is a very small number of pets around the world reported to be infected with the virus that causes COVID-19 after having contact with a person with COVID-19. Based on the limited information currently available, the risk of animals spreading COVID-19 to people is considered low. 
Until we learn more about how this virus affects animals, treat pets as you would other human family members to protect them from a potential infection.
Do not let pets interact with people outside the household.
Keep cats indoors when possible to prevent them from interacting with other animals or people.
Walk dogs on a leash, maintaining at least 6 feet (2 meters) from other people.
Avoid dog parks or public places where a large number of people gather.
Talk to your veterinarian if your pet gets sick or if you have any concerns about your pet’s health. Learn more about Pet Safety & COVID-19. 


"
Is there a test for COVID-19 in pets?," Certain veterinary diagnostic laboratories have developed diagnostic tests for SARS-CoV-2, the virus that causes COVID-19, for use in pets if needed. 
Diagnostic tests for animals are regulated differently than those for humans. The FDA does not require approval or clearance of a 510(k), PMA, or any other pre-market submission for devices, including diagnostic tests, intended for animal use. The FDA does, however, have post-market regulatory oversight over devices intended for animal use and can take appropriate regulatory action if an animal device is misbranded or adulterated.
Certain private, state, and university veterinary diagnostic laboratories have developed diagnostic tests for SARS-CoV-2, the virus that causes COVID-19, for use in dogs and cats. The FDA is also aware of at least two veterinary tests for COVID-19 in pets developed by commercial laboratories initially for internal surveillance, but the agency has not evaluated the validity of these tests. The tests are not currently available for routine testing. The decision to test pets should be made collaboratively between local, state, or federal public and animal health officials.


"
Should I get my pet tested for COVID-19?," Routine testing of pets for COVID-19 is not recommended at this time. There is currently no evidence that animals are a source of COVID-19 infection in the United States. Based on the limited information available to date, the risk of pets spreading the virus is considered to be low. If your pet is sick, consult your veterinarian. 
Animal testing is reserved for situations when the results may affect the treatment or management of people and animals. If your veterinarian thinks your pet is a candidate for testing, they will consult the state veterinarian and public health officials. Do not contact your state veterinarians directly: they do not have the client/patient-veterinarian relationship that would allow them to fully understand the situation and they are also actively involved in other animal disease-related emergencies as well as response to COVID-19.


"
What animal species can get COVID-19?," We currently don’t fully understand how COVID-19 affects different animal species. We are aware of a very small number of pets, including dogs and cats, reported to be infected with the virus that causes COVID-19 after close contact with people with COVID-19. 
Large cats in captivity, including several lions and tigers in a New York zoo, a puma in South Africa, and tigers in a Tennessee zoo have tested positive for SARS-CoV-2 after showing signs of respiratory illness. It is suspected these large cats became sick after being exposed to zoo employees with COVID-19.
The virus that causes COVID-19 has been reported in minks on farms in the Netherlands, Denmark, Spain, Italy, Sweden and the United States. Once the virus is introduced on a farm, spread can occur between mink as well as from mink to other animals on the farm (dogs, cats). Because some workers on these farms had COVID-19, it is likely that infected farm workers were the initial source of mink infections.
Recent research shows that ferrets, cats, fruit bats, and golden Syrian hamsters can be experimentally infected with the virus and can spread the infection to other animals of the same species in laboratory settings. Mice, pigs, chickens, and ducks did not become infected or spread the infection based on results from these studies. Data from one study suggest that dogs are not as likely to become infected with the virus as cats and ferrets. These findings were based upon a small number of animals and do not indicate whether animals can spread infection to people.
For any animal that tests positive for SARS-CoV-2 at a private or state laboratory, USDA's National Veterinary Services Laboratories performs additional testing to confirm the infection and posts the results on this page: Cases of SARS-CoV-2 in Animals in the United States. 


"
"Since domestic cats can get infected with the virus that causes COVID-19, should I worry about my cat?"," We are still learning about this virus and how it spreads, but it appears it can spread from humans to animals in some situations. The FDA is aware of a very small number of pets, including cats, reported to be infected with the virus that causes COVID-19. The majority of these cases were linked to close contact with people who tested positive for COVID-19.
At this time, there is no evidence that pets, including cats and dogs, play a role in spreading COVID-19 to people. The virus that causes COVID-19 spreads mainly from person to person, typically through respiratory droplets from coughing, sneezing, or talking.
People sick with COVID-19 should isolate themselves from other people and animals, including pets, during their illness until we know more about how this virus affects animals. If you must care for your pet or be around animals while you are sick, wear a cloth face covering and wash your hands before and after you interact with pets.


"
Why are animals being tested when many people can’t get tested?," The FDA, USDA and CDC recommend that any testing of animals should be conducted using kits not required when testing people. USDA’s National Veterinary Services Laboratories (NVSL) and the laboratories of the National Animal Health Laboratory Network (NAHLN) use tests developed for animal testing that are not used for testing in people. This avoids placing additional stresses on human testing resources while also recognizing the potential importance of animal testing to supporting public health. 
Although animal and human tests are generally similar, this type of testing has to be adjusted in each species and for each sample type (blood, feces, nasal swab). Human and animal tests are not intended to be interchangeable. Some testing performed on animals is based on the published tests used in people, but animal testing is not likely to reduce the availability of tests for people if labs follow recommendations from the FDA, USDA, and CDC that animal testing be conducted using tests developed for animals.


"
Can pets carry the virus that causes COVID-19 on their skin or fur?," Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes COVID-19, can spread to people from the skin, fur, or hair of pets.
However, because animals can sometimes carry other germs that can make people sick, it’s always a good idea to practice healthy habits around pets and other animals, including washing hands before and after interacting with them and especially after cleaning up their waste.
There are no products that are FDA-approved to disinfect the hair or coats of pets, but if you do decide to bathe or wipe off your pet, first talk to your veterinarian about suitable products. Never use hand sanitizer, counter-cleaning wipes or other industrial or surface cleaners, as these can penetrate the skin or be licked off and ingested by your pet. If you have recently used any of these products on your pet, or your pet is showing signs of illness after use, contact your veterinarian and rinse or wipe down your pet with water. 


"
Are there any approved products that can prevent or treat COVID-19 in animals?," No. Under the Federal Food, Drug, and Cosmetic (FD&C) Act, “articles intended for use in the diagnosis, cure, mitigation, treatment, or prevention of disease in man or other animals” are drugs. The FDA has not approved any drugs for the diagnosis, cure, mitigation, treatment, or prevention of COVID-19 in animals. The U.S. Department of Agriculture’s (USDA) Animal and Plant Health Inspection Service (APHIS) Center for Veterinary Biologics (CVB) regulates veterinary biologics, including vaccines, diagnostic kits, and other products of biological origin. Similarly, APHIS CVB has not licensed any products to treat or prevent COVID-19 in animals.
The FDA has taken action against unapproved products claiming to prevent or cure COVID-19. The public can help safeguard human and animal health by reporting any products claiming to do so to FDA-COVID-19-Fraudulent-Products@fda.hhs.gov or 1-888-INFO-FDA (1-888-463-6332).


"
"Is it true that animals, like dogs, cats, and cattle, get their own different types of coronavirus?"," Yes. Coronaviruses are a large family of viruses. Some coronaviruses like COVID-19 cause cold-like illnesses in people, while others cause illness in certain types of animals, such as cattle, camels, and bats. Some coronaviruses, such as canine and feline coronaviruses, only infect animals and do not infect humans. For example, bovine coronavirus causes diarrhea in young calves, and pregnant cows are routinely vaccinated to help prevent infection in calves. This vaccine is only licensed for use in cattle for bovine coronavirus and is not licensed to prevent COVID-19 in cattle or other species, including humans.
Dogs can get a respiratory coronavirus, which is part of the complex of viruses and bacteria associated with canine infectious respiratory disease, commonly known as “kennel cough.” While this virus is highly contagious among both domestic and wild dogs, it is not transmitted to other animal species or humans.
Most strains of feline enteric coronavirus, a gastrointestinal form, are fought off by a cat’s immune system without causing disease. However, in a small proportion of these cats, the virus can cause feline infectious peritonitis (FIP), a disease that is almost always fatal.
Other species, like horses, turkeys, chickens, and swine, can contract their own species-specific strains of coronavirus but, like the other strains mentioned above, they are not known to be transmissible to humans. More information is available in the American Veterinary Medical Association’s fact sheet about coronaviruses in domestic species.


"
"If my pet previously had a species-specific coronavirus, does that make them more or less likely to get COVID-19?"," There are no data to suggest that current or previous infection with another strain of coronavirus would make your pet more or less likely to get COVID-19.


"
"If my pet has been vaccinated for species-specific coronavirus, does that make them more or less likely to get COVID-19?"," Species-specific coronavirus vaccines are unlikely to work against this type of coronavirus because it is a new virus that is different from the species-specific strains of coronavirus targeted by the vaccine.


"
My pet has health problems and goes to the vet regularly for treatment. Should I be doing anything different to manage their health during the COVID-19 outbreak?," While you should not avoid necessary visits to your veterinarian due to the COVID-19 outbreak, you should exercise reasonable caution just like you would if you were going to any other public place. If you are concerned about your own health or that of your pet when going to the veterinarian, contact their office in advance to discuss any recommended precautions.


"
Is it safe to adopt pets from a shelter or rescue?," There is no reason to think that any animals, including shelter or rescue pets, in the United States, might be a source of COVID-19. The virus that causes COVID-19 spreads mainly from person to person, typically through respiratory droplets from coughing, sneezing, or talking.


"
Are there going to be any animal drug shortages due to the COVID-19 outbreak?," The FDA has been and is continuing to closely monitor how the COVID-19 outbreak may impact the animal medical product supply chain.
We have been reaching out to manufacturers as part of our approach to identifying potential disruptions or shortages. We will use all available tools to react swiftly to help mitigate the impact if a potential disruption or shortage is identified.
Learn more on our Animal Drug Shortage Information page.


"
